Chromosome	TSS	Strand	Gene_Name
2	100106128	-1	AFF3
2	136116243	-1	CXCR4
5	159099916	-1	EBF1
6	134318058	-1	SGK1
6	26056428	-1	H1-2
6	27867529	-1	H1-5
6	31582425	-1	LTB
6	27865355	1	H2AC16
10	61901699	1	ARID5B
12	92145846	-1	BTG1
12	122019422	1	BCL7A
16	11256200	-1	SOCS1
16	27313974	1	IL4R
17	65056740	-1	GNA13
17	7687538	-1	TP53
17	8630761	-1	MYH10
22	22887816	1	IGLL5
